target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
539.89,192.482,1000,589.191,236.255,998.988
538.931,191.329,1000,588.417,235.647,998.986
537.977,190.172,1000,587.644,235.037,998.984
537.029,189.009,1000,586.873,234.425,998.983
536.087,187.842,1000,585.339,233.191,998.98
535.151,186.67,1000,584.575,232.571,998.978
534.22,185.493,1000,583.814,231.947,998.977
533.296,184.312,1000,583.054,231.322,998.975
532.377,183.126,1000,582.297,230.693,998.973
531.464,181.936,1000,580.789,229.428,998.97
530.558,180.741,1000,580.039,228.792,998.969
529.657,179.542,1000,579.291,228.153,998.967
528.762,178.338,1000,578.545,227.511,998.966
527.874,177.129,1000,577.802,226.867,998.965
526.991,175.916,1000,576.321,225.571,998.962
526.114,174.699,1000,574.85,224.265,998.959
525.244,173.478,1000,573.389,222.948,998.956
524.38,172.252,1000,571.937,221.621,998.954
523.521,171.021,1000,571.215,220.954,998.952
522.669,169.787,1000,569.777,219.612,998.95
521.824,168.548,1000,568.35,218.26,998.947
520.984,167.305,1000,566.931,216.899,998.945
520.151,166.058,1000,565.521,215.529,998.944
519.323,164.807,1000,564.119,214.15,998.943
518.502,163.551,1000,563.421,213.457,998.942
517.688,162.292,1000,562.032,212.067,998.941
516.88,161.028,1000,560.651,210.669,998.94
516.078,159.76,1000,559.277,209.264,998.939
515.282,158.489,1000,557.91,207.853,998.939
514.493,157.213,1000,557.229,207.144,998.939
513.71,155.934,1000,555.874,205.722,998.939
512.933,154.65,1000,554.526,204.293,998.94
512.163,153.363,1000,553.186,202.857,998.94
511.4,152.072,1000,551.853,201.415,998.942
510.643,150.777,1000,551.19,200.691,998.943
509.892,149.478,1000,549.869,199.238,998.944
509.148,148.176,1000,548.556,197.778,998.947
508.41,146.87,1000,547.251,196.312,998.949
507.679,145.56,1000,545.954,194.838,998.952
506.955,144.247,1000,545.308,194.099,998.954
506.237,142.93,1000,544.024,192.615,998.957
505.525,141.609,1000,542.748,191.124,998.961
504.821,140.285,1000,541.48,189.626,998.965
504.122,138.957,1000,540.849,188.874,998.967
503.431,137.626,1000,539.594,187.366,998.972
502.746,136.292,1000,538.348,185.851,998.976
502.068,134.954,1000,537.11,184.329,998.981
501.397,133.612,1000,536.495,183.565,998.984
500.732,132.268,1000,535.271,182.033,998.99
500.074,130.92,1000,534.056,180.494,998.996
499.423,129.568,1000,532.85,178.947,999.002
498.778,128.214,1000,532.25,178.172,999.005
498.141,126.856,1000,531.058,176.615,999.012
497.51,125.495,1000,529.876,175.051,999.019
496.886,124.131,1000,528.703,173.48,999.026
496.268,122.764,1000,528.121,172.692,999.029
495.658,121.394,1000,526.962,171.111,999.037
495.055,120.021,1000,525.814,169.523,999.044
494.458,118.645,1000,524.676,167.928,999.052
493.868,117.265,1000,524.11,167.128,999.056
493.285,115.883,1000,522.987,165.523,999.064
492.709,114.498,1000,521.873,163.911,999.072
492.14,113.11,1000,521.32,163.103,999.077
491.578,111.72,1000,520.222,161.481,999.085
491.023,110.326,1000,519.134,159.852,999.094
490.475,108.93,1000,518.057,158.217,999.103
489.934,107.531,1000,517.522,157.397,999.108
489.4,106.129,1000,516.46,155.751,999.117
488.872,104.725,1000,515.409,154.099,999.127
488.352,103.318,1000,514.887,153.271,999.132
487.839,101.909,1000,513.852,151.609,999.141
487.333,100.496,1000,512.828,149.941,999.151
486.834,99.0819,1000,511.815,148.266,999.161
486.342,97.6648,1000,511.313,147.426,999.166
485.858,96.2453,1000,510.316,145.742,999.177
485.38,94.8234,1000,509.331,144.051,999.187
484.909,93.3991,1000,508.842,143.204,999.192
484.446,91.9725,1000,507.873,141.504,999.203
483.99,90.5436,1000,506.915,139.797,999.214
483.541,89.1124,1000,506.441,138.942,999.219
483.099,87.679,1000,505.5,137.227,999.23
482.664,86.2434,1000,504.571,135.505,999.241
482.236,84.8057,1000,504.11,134.642,999.247
